,media_url
img_00573,https://pbs.twimg.com/media/DL1OK0vX4AE2c9V.jpg
img_00576,https://pbs.twimg.com/media/DL0xO0HX0AAeczS.jpg
img_00580,https://pbs.twimg.com/media/DLyyiA6X0AAJIjy.jpg
img_00582,https://pbs.twimg.com/media/DLyhIwfXcAEbCBk.jpg
img_00583,https://pbs.twimg.com/media/DLyblZ_U8AEAcPW.jpg
img_00585,https://pbs.twimg.com/media/DLx4L0kVwAAkOvo.jpg
img_00588,https://pbs.twimg.com/media/DLwvVQHVYAAFRxq.jpg
img_00589,https://pbs.twimg.com/ext_tw_video_thumb/917635818302459904/pu/img/iWkPGlM3Uhi8TD3M.jpg
img_00590,https://pbs.twimg.com/media/DLvumqoV4AAQPI0.jpg
img_00592,https://pbs.twimg.com/media/DLvFjT8X4AotbaF.jpg
img_00599,https://pbs.twimg.com/media/DLtMiZJUIAAL8Ry.jpg
img_00600,https://pbs.twimg.com/media/DLs5_bvWsAouzEh.jpg
img_00602,https://pbs.twimg.com/media/DLragq1UQAAe2PY.jpg
img_00604,https://pbs.twimg.com/media/DLq-Q4pW4AAvCUF.jpg
img_00606,https://pbs.twimg.com/tweet_video_thumb/DLp6Mv-VoAEFrxZ.jpg
img_00608,https://pbs.twimg.com/media/DLpBfXTXkAACjL3.jpg
img_00613,https://pbs.twimg.com/media/DLl1TXlU8AALHA6.jpg
img_00614,https://pbs.twimg.com/media/DLl044WVAAAj6cl.jpg
img_00617,https://pbs.twimg.com/media/DLkkqm5VAAAXgsG.jpg
img_00619,https://pbs.twimg.com/media/DLkFQH3X4AEGQcr.jpg
img_00622,https://pbs.twimg.com/media/DLjSTIUXUAAKFFQ.jpg
img_00623,https://pbs.twimg.com/media/DLi9POOWkAEji8M.jpg
img_00624,https://pbs.twimg.com/media/DLi5zIEWsAErOCz.jpg
img_00630,https://pbs.twimg.com/media/DLhOKzWX0AAz2SJ.jpg
img_00631,https://pbs.twimg.com/media/DLhMgBkXUAAJUTQ.jpg
img_00632,https://pbs.twimg.com/tweet_video_thumb/DLg5aqvUQAEBJwz.jpg
img_00641,https://pbs.twimg.com/media/DLeSG5pUQAA1XV1.jpg
img_00645,https://pbs.twimg.com/media/DLdUwezXkAAbShq.jpg
img_00648,https://pbs.twimg.com/media/DLb-_IEXcAA8qYb.jpg
img_00649,https://pbs.twimg.com/media/DLb8Z7jW4AAeIAn.jpg
img_00658,https://pbs.twimg.com/media/DLYeZFLW4AIQNhW.jpg
img_00660,https://pbs.twimg.com/media/DLX7MEFVoAAdOdZ.jpg
img_00662,https://pbs.twimg.com/media/DLXcpkUWAAIU7yp.jpg
img_00663,https://pbs.twimg.com/media/DLVZUd5W0AcxEji.jpg
img_00666,https://pbs.twimg.com/media/DLUolvUWkAAkH23.jpg
img_00671,https://pbs.twimg.com/media/DLS7QT5VAAE6980.jpg
img_00677,https://pbs.twimg.com/media/DLQean4WAAE4tdx.jpg
img_00680,https://pbs.twimg.com/media/DLPwYM5UIAAmIIG.jpg
img_00683,https://pbs.twimg.com/media/DLPXpBwXoAA6tsc.jpg
img_00685,https://pbs.twimg.com/media/DLPBt6wVwAAPruc.jpg
img_00687,https://pbs.twimg.com/media/DLPBDmeW4AM62j6.jpg
img_00688,https://pbs.twimg.com/media/DLOvuXXXUAEJ6uX.jpg
img_00693,https://pbs.twimg.com/media/DLNxz8_V4AAlsu0.jpg
img_00700,https://pbs.twimg.com/media/DLKQqXwVwAEDQ-V.jpg
img_00707,https://pbs.twimg.com/media/DLH7ttGWkAAFomv.jpg
img_00710,https://pbs.twimg.com/media/DLHQUfRVAAAt4cD.jpg
img_00712,https://pbs.twimg.com/media/DLHCYzoUIAA-0UI.jpg
img_00715,https://pbs.twimg.com/media/DLGKc90VAAAQaP4.jpg
img_00716,https://pbs.twimg.com/media/DLF1RlhW0AAkgnx.jpg
img_00717,https://pbs.twimg.com/media/DLE0H88VAAE2HCF.jpg
img_00719,https://pbs.twimg.com/media/DLEi8AwXoAAH9y4.jpg
img_00723,https://pbs.twimg.com/media/DLD5smVWAAUd8Dd.jpg
img_00724,https://pbs.twimg.com/media/DLDniZ9W0AA0vBh.jpg
img_00725,https://pbs.twimg.com/media/DLDOOAjVwAA_Ljc.jpg
img_00726,https://pbs.twimg.com/media/DLC7sd2VwAERQv-.jpg
img_00730,https://pbs.twimg.com/media/DLAQLIyWkAEyloF.jpg
img_00731,https://pbs.twimg.com/media/DLAJhofVoAACxwo.jpg
img_00733,https://pbs.twimg.com/media/DK_IvkVWsAAHWda.jpg
img_00734,https://pbs.twimg.com/media/DK--sR7WkAADdSy.jpg
img_00736,https://pbs.twimg.com/media/DK-wgPMWAAAdqqm.jpg
img_00737,https://pbs.twimg.com/media/DK-qUw3XkAEmmq9.jpg
img_00738,https://pbs.twimg.com/media/DK-kul7WAAAFm5H.jpg
img_00740,https://pbs.twimg.com/media/DK9iftUX0AAhYtd.jpg
img_00742,https://pbs.twimg.com/media/DK86o8LW4AABi7a.jpg
img_00746,https://pbs.twimg.com/media/DK6xhyIVYAAEF1b.jpg
img_00748,https://pbs.twimg.com/tweet_video_thumb/DK6Xd85WsAAn8WE.jpg
img_00749,https://pbs.twimg.com/tweet_video_thumb/DK6W99kWkAARAVt.jpg
img_00752,https://pbs.twimg.com/media/DK5w99GXcAEOT3d.jpg
img_00755,https://pbs.twimg.com/media/DK5LIZcWAAAUkG0.jpg
img_00757,https://pbs.twimg.com/media/DK2-60cXkAAenKk.jpg
img_00758,https://pbs.twimg.com/media/DK29C_2W0AAFi_l.jpg
img_00760,https://pbs.twimg.com/media/DK2ahBRW0AAEF_U.jpg
img_00762,https://pbs.twimg.com/media/DK2RJTvVoAEjOoB.jpg
img_00763,https://pbs.twimg.com/media/DK1s--3XkAAvm98.jpg
img_00766,https://pbs.twimg.com/media/DK1NKFJX0AArnnW.jpg
img_00767,https://pbs.twimg.com/media/DK1L83eWAAEE2qQ.jpg
img_00768,https://pbs.twimg.com/media/DK1GJmZUQAMKsJ9.jpg
img_00769,https://pbs.twimg.com/ext_tw_video_thumb/913448692409077760/pu/img/Bs7uGyFQXkrGRab6.jpg
img_00771,https://pbs.twimg.com/media/DK0LgwYXUAAX2z_.jpg
img_00774,https://pbs.twimg.com/media/DKzPayNUEAIkaTb.jpg
img_00779,https://pbs.twimg.com/media/DKyF_SKW4AAQ74z.jpg
img_00780,https://pbs.twimg.com/media/DKyB23CWAAAZQmF.jpg
img_00781,https://pbs.twimg.com/media/DKx-77VW0AATvxC.jpg
img_00786,https://pbs.twimg.com/media/DKxBSJ6V4AA8WxZ.jpg
img_00789,https://pbs.twimg.com/media/DKwbzbrXoAAFiUD.jpg
img_00790,https://pbs.twimg.com/media/DKwX8Q4WAAUzfr-.jpg
img_00792,https://pbs.twimg.com/media/DKv3EdsUMAAGhdq.jpg
img_00793,https://pbs.twimg.com/media/DKvTXi_UQAEzDR7.jpg
img_00795,https://pbs.twimg.com/media/DKvHXWoVoAAac10.jpg
img_00797,https://pbs.twimg.com/media/DKuP-MqX0AAIZsP.jpg
img_00798,https://pbs.twimg.com/media/DKt-IZfXUAEhiSR.jpg
img_00801,https://pbs.twimg.com/media/DKtOGAXXkAAN_7v.jpg
img_00805,https://pbs.twimg.com/tweet_video_thumb/DKrFpruXUAAr5Bu.jpg
img_00806,https://pbs.twimg.com/ext_tw_video_thumb/912756171697676288/pu/img/y7EkCrQv8LWYDNag.jpg
img_00809,https://pbs.twimg.com/ext_tw_video_thumb/912644203871686657/pu/img/jYUq0kP6J9neRU_L.jpg
img_00811,https://pbs.twimg.com/media/DKngsvJXoAAQvuK.jpg
img_00813,https://pbs.twimg.com/media/DKnKm2qXoAAur8A.jpg
img_00814,https://pbs.twimg.com/media/DKm7uPbXcAAA_dm.jpg
img_00816,https://pbs.twimg.com/media/DKmuCU3WkAA3zb1.jpg
img_00821,https://pbs.twimg.com/media/DKlVitzXcAEH1i2.jpg
img_00822,https://pbs.twimg.com/media/DKlUAvjW0AEvEHo.jpg
img_00826,https://pbs.twimg.com/media/DKj_N71W4AEGOyV.jpg
img_00839,https://pbs.twimg.com/tweet_video_thumb/DKcAQ_KWAAERulT.jpg
img_00847,https://pbs.twimg.com/media/DKZYMKVWAAA6SW8.jpg
img_00848,https://pbs.twimg.com/media/DKYvZQEWkAAHwkR.jpg
img_00850,https://pbs.twimg.com/media/DKYkkCTVwAAfI02.jpg
img_00851,https://pbs.twimg.com/media/DKYH6cWUEAA_Xv3.jpg
img_00856,https://pbs.twimg.com/media/DKWVASXXoAAgM_l.jpg
img_00857,https://pbs.twimg.com/media/DKWUZPKXcAM78eF.jpg
img_00858,https://pbs.twimg.com/media/DKWOXFyXoAAW_O2.jpg
img_00859,https://pbs.twimg.com/media/DKWMihTXoAEsvnp.jpg
img_00866,https://pbs.twimg.com/media/DKTaqphVYAAvK4O.jpg
img_00868,https://pbs.twimg.com/media/DKSp8rVWAAAHo1d.jpg
img_00869,https://pbs.twimg.com/media/DKRekSxXkAEE-GN.jpg
img_00872,https://pbs.twimg.com/media/DKQ1PqKWkAEetWF.jpg
img_00873,https://pbs.twimg.com/ext_tw_video_thumb/910907762984460289/pu/img/MvPpZa90PYh-o80_.jpg
img_00876,https://pbs.twimg.com/media/DKPT9WNX0AAhdIT.jpg
img_00877,https://pbs.twimg.com/media/DKNuEzvXoAAf8Ew.jpg
img_00880,https://pbs.twimg.com/media/DKNE7FxW0AccqBz.jpg
img_00884,https://pbs.twimg.com/media/DKLo3GMW0AAptox.jpg
img_00885,https://pbs.twimg.com/media/DKLMuhLV4AAwoe0.jpg
img_00894,https://pbs.twimg.com/media/DKH1NyYWAAUBUJB.jpg
img_00895,https://pbs.twimg.com/media/DKHEduIX0AArIzt.jpg
img_00898,https://pbs.twimg.com/media/DKGr3BDXkAA1omX.jpg
img_00901,https://pbs.twimg.com/media/DKE-tPgXkAAbVv6.jpg
img_00905,https://pbs.twimg.com/media/DKDSdzWUEAEwULW.jpg
img_00906,https://pbs.twimg.com/media/DKCzqYaWsAE4mxE.jpg
img_00907,https://pbs.twimg.com/media/DKCWQkoWAAAnRqk.jpg
img_00909,https://pbs.twimg.com/media/DKB19i4WsAEqmyj.jpg
img_00910,https://pbs.twimg.com/media/DKBpI7UW4AALQeK.jpg
img_00916,https://pbs.twimg.com/media/DJ-0cYlXkAAPZ32.jpg
img_00918,https://pbs.twimg.com/media/DJ-cFevUIAA1R9E.jpg
img_00919,https://pbs.twimg.com/media/DJ-QoACWAAECHUK.jpg
img_00921,https://pbs.twimg.com/media/DJ98-JPWsAEzxTY.jpg
img_00922,https://pbs.twimg.com/media/DJ92l7dWsAUMnAv.jpg
img_00923,https://pbs.twimg.com/media/DJ9hJp4VoAAN948.jpg
img_00926,https://pbs.twimg.com/media/DJ8ga0QXcAAQSFp.jpg
img_00928,https://pbs.twimg.com/media/DJ7sTp_VwAU2Ue6.jpg
img_00930,https://pbs.twimg.com/media/DJ7bibjUEAEf27E.jpg
img_00932,https://pbs.twimg.com/media/DJ7CdazWAAAtuli.jpg
img_00939,https://pbs.twimg.com/media/DJ4pFEEVoAAjAF5.jpg
img_00945,https://pbs.twimg.com/media/DJ1tY9vXUAAgqDG.jpg
img_00946,https://pbs.twimg.com/media/DJ1gNQzXcAAcZym.jpg
