,img,type,label,confidence
270,img_00033,Text,omatch your,77.74637603759766
271,img_00033,Text,official,85.80554962158203
272,img_00033,Text,information.,89.51888275146484
273,img_00033,Text,Ciark,84.42687225341797
274,img_00033,Text,tMessage,86.72624969482422
275,img_00033,Text,Send,82.79447937011719
276,img_00034,Label,Human,99.27654266357422
277,img_00034,Label,People,99.27653503417969
278,img_00034,Label,Person,99.27654266357422
279,img_00034,Label,Audience,81.32671356201172
280,img_00034,Label,Crowd,81.32671356201172
281,img_00034,Label,Press Conference,81.32671356201172
282,img_00034,Label,Speech,81.32671356201172
283,img_00034,Celebrity,Brad Pitt,99.97534942626953
284,img_00034,Text,2091 CH,87.84314727783203
285,img_00034,Text,IMAX,91.12509155273438
286,img_00034,Text,CHH,88.5137939453125
287,img_00034,Text,2091 CH,87.84314727783203
288,img_00034,Text,IMAX,91.12509155273438
289,img_00034,Text,CHH,88.5137939453125
290,img_00036,Label,Aircraft,96.60796356201172
291,img_00036,Label,Airplane,96.60796356201172
292,img_00036,Label,Transportation,96.60796356201172
293,img_00036,Text,DELTA,83.5645523071289
294,img_00036,Text,111211 1101,47.275753021240234
295,img_00036,Text,DELTA,83.5645523071289
296,img_00036,Text,111211,47.975425720214844
297,img_00036,Text,1101,46.576072692871094
298,img_00038,Label,Luggage,87.91901397705078
299,img_00038,Label,Suitcase,87.91901397705078
300,img_00038,Label,Subway,85.07347869873047
301,img_00038,Label,Terminal,85.07347869873047
302,img_00038,Label,Train,85.07347869873047
303,img_00038,Label,Train Station,85.07347869873047
304,img_00038,Label,Transportation,85.07347869873047
305,img_00038,Label,Vehicle,85.07347869873047
306,img_00039,Label,Human,99.29354858398438
307,img_00039,Label,People,99.29353332519531
308,img_00039,Label,Person,99.29354858398438
309,img_00039,Label,Make Out,85.6625747680664
310,img_00039,Celebrity,Maxine Waters,99.99853515625
311,img_00039,Text,inancialser Services,85.36236572265625
312,img_00039,Text,Reclaiming my time.,97.73939514160156
313,img_00039,Text,inancialser,83.14112854003906
314,img_00039,Text,Services,87.58360290527344
315,img_00039,Text,Reclaiming,99.27494049072266
316,img_00039,Text,my,98.33975219726562
317,img_00039,Text,time.,95.603515625
318,img_00040,Text,i,67.763916015625
319,img_00040,Text,i,67.763916015625
320,img_00042,Label,Human,99.29750061035156
321,img_00042,Label,People,99.29750061035156
322,img_00042,Label,Person,99.29750061035156
323,img_00042,Label,Face,90.14322662353516
324,img_00042,Label,Portrait,90.14322662353516
325,img_00042,Label,Smile,90.14322662353516
326,img_00044,Label,Human,99.17512512207031
327,img_00044,Label,People,99.17512512207031
328,img_00044,Label,Person,99.17512512207031
329,img_00044,Label,Audience,85.78993225097656
330,img_00044,Label,Crowd,85.78993225097656
331,img_00044,Label,Speech,85.78993225097656
332,img_00044,Label,Head,79.45614624023438
333,img_00044,Celebrity,Brian Williams,99.99836730957031
334,img_00044,Text,1,79.97535705566406
335,img_00044,Text,Y,57.860355377197266
336,img_00044,Text,1,79.97535705566406
337,img_00044,Text,Y,57.860355377197266
338,img_00045,Label,Human,99.22261047363281
339,img_00045,Label,People,99.22260284423828
340,img_00045,Label,Person,99.22261047363281
341,img_00045,Label,Face,89.33200073242188
342,img_00045,Label,Portrait,89.33200073242188
343,img_00045,Label,Female,81.42340087890625
344,img_00045,Celebrity,Naomi Campbell,99.99431610107422
345,img_00046,Label,Human,99.18535614013672
346,img_00046,Label,People,99.18534088134766
347,img_00046,Label,Person,99.18535614013672
348,img_00046,Label,Automobile,97.6117935180664
349,img_00046,Label,Car,97.6117935180664
350,img_00046,Label,Transportation,97.6117935180664
351,img_00046,Label,Vehicle,97.6117935180664
352,img_00046,Text,ITOMMY,85.1011962890625
353,img_00046,Text,JEANS,84.67581176757812
354,img_00046,Text,ITOMMY,85.1011962890625
355,img_00046,Text,JEANS,84.67581176757812
356,img_00047,Label,Human,99.13175201416016
357,img_00047,Label,People,99.1317367553711
358,img_00047,Label,Person,99.13175201416016
359,img_00047,Label,Team,98.00961303710938
360,img_00047,Label,American Football,80.01530456542969
361,img_00047,Label,Clothing,80.01530456542969
362,img_00047,Label,Crash Helmet,80.01530456542969
363,img_00047,Label,Football,80.01530456542969
364,img_00047,Label,Football Helmet,80.01530456542969
365,img_00047,Label,Hardhat,80.01530456542969
366,img_00047,Label,Helmet,80.01530456542969
367,img_00047,Label,Sport,80.01530456542969
368,img_00047,Label,Sports,80.01530456542969
369,img_00047,Label,Team Sport,80.01530456542969
370,img_00047,Celebrity,Joe Paterno,99.9996337890625
371,img_00047,Text,85,82.2797622680664
372,img_00047,Text,68,92.74227142333984
373,img_00047,Text,14 9,91.71509552001953
374,img_00047,Text,A,60.15895080566406
375,img_00047,Text,85,82.2797622680664
376,img_00047,Text,68,92.74227142333984
377,img_00047,Text,14,89.76769256591797
378,img_00047,Text,9,93.66249084472656
379,img_00047,Text,A,60.15895080566406
380,img_00049,Label,Wristwatch,99.1335220336914
381,img_00049,Label,Brochure,90.53338623046875
382,img_00049,Label,Flyer,90.53338623046875
383,img_00049,Label,Paper,90.53338623046875
384,img_00049,Label,Poster,90.53338623046875
385,img_00049,Label,Digital Watch,89.3321304321289
386,img_00049,Text,< Jay 10: 07,82.13016510009766
387,img_00049,Text,0goou,78.30609130859375
388,img_00049,Text,Today 10:06 AM,97.11324310302734
389,img_00049,Text,Liz Plosser completed a,91.23139190673828
390,img_00049,Text,workout.,93.75023651123047
391,img_00049,Text,Way to get it,94.57669067382812
392,img_00049,Text,done!,95.13410949707031
393,img_00049,Text,<,62.05528259277344
394,img_00049,Text,Jay,99.18418884277344
395,img_00049,Text,10:,85.1993179321289
396,img_00049,Text,07,82.08187103271484
397,img_00049,Text,0goou,78.30609130859375
398,img_00049,Text,Today,96.7169418334961
399,img_00049,Text,10:06,96.35104370117188
400,img_00049,Text,AM,98.27174377441406
401,img_00049,Text,Liz,94.8541030883789
402,img_00049,Text,Plosser,83.69872283935547
403,img_00049,Text,completed,97.3279037475586
404,img_00049,Text,a,89.04485321044922
405,img_00049,Text,workout.,93.75023651123047
406,img_00049,Text,Way,93.9561996459961
407,img_00049,Text,to,95.04139709472656
408,img_00049,Text,get,96.89994049072266
409,img_00049,Text,it,92.40924835205078
410,img_00049,Text,done!,95.13410949707031
411,img_00051,Label,Apple,98.93192291259766
412,img_00051,Label,Flora,98.93192291259766
413,img_00051,Label,Food,98.93192291259766
414,img_00051,Label,Fruit,98.93192291259766
415,img_00051,Label,Plant,98.93192291259766
416,img_00051,Label,Produce,98.93192291259766
417,img_00051,Label,Cabbage,86.81522369384766
418,img_00051,Label,Kale,86.81522369384766
419,img_00051,Label,Vegetable,86.81522369384766
420,img_00051,Label,Squash,84.49868774414062
421,img_00051,Label,Zucchini,84.49868774414062
422,img_00051,Text,ta,48.88911819458008
423,img_00051,Text,ta,48.88911819458008
424,img_00053,Label,Human,99.25479125976562
425,img_00053,Label,People,99.25479125976562
426,img_00053,Label,Person,99.25479125976562
427,img_00053,Label,Electronics,98.95585632324219
428,img_00053,Label,Monitor,98.95585632324219
429,img_00053,Label,Screen,98.95585632324219
430,img_00053,Label,TV,98.95585632324219
431,img_00053,Label,Television,98.95585632324219
432,img_00053,Label,Guitar,77.78883361816406
433,img_00053,Label,Guitarist,77.78883361816406
434,img_00053,Label,Leisure Activities,77.78883361816406
435,img_00053,Label,Music,77.78883361816406
436,img_00053,Label,Musical Instrument,77.78883361816406
437,img_00053,Label,Musician,77.78883361816406
438,img_00053,Label,Performer,77.78883361816406
439,img_00053,Text,0o,52.72386169433594
440,img_00053,Text,0o,52.72386169433594
441,img_00054,Label,Human,99.08860778808594
442,img_00054,Label,People,99.0886001586914
443,img_00054,Label,Person,99.08860778808594
444,img_00054,Label,Blackboard,96.31722259521484
445,img_00054,Label,Clothing,88.05806732177734
446,img_00054,Label,Coat,88.05806732177734
447,img_00054,Label,Overcoat,88.05806732177734
448,img_00054,Label,Suit,88.05806732177734
449,img_00054,Celebrity,Le Corbusier,99.99446105957031
450,img_00054,Text,lamatenmell,80.64277648925781
451,img_00054,Text,ton Tti bns,68.53983306884766
452,img_00054,Text,L matmle,69.785400390625
453,img_00054,Text,ne Dtt,61.50277328491211
454,img_00054,Text,winctams,69.54874420166016
